"Notes"	"Census Region"	"Census Region Code"	"Race"	"Race Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"Drug/Alcohol Induced Cause"	"Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	% of Total Deaths
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"35-44 years"	"35-44"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O9"	23	50720	45.3	28.7	68.0	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"35-44 years"	"35-44"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O9"	19	52810	Unreliable	21.7	56.2	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"35-44 years"	"35-44"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O9"	22	55045	40.0	25.0	60.5	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"35-44 years"	"35-44"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O9"	22	57065	38.6	24.2	58.4	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"35-44 years"	"35-44"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O9"	21	58630	35.8	22.2	54.8	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"35-44 years"	"35-44"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O9"	22	58861	37.4	23.4	56.6	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"35-44 years"	"35-44"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O9"	22	59114	37.2	23.3	56.3	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"35-44 years"	"35-44"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O9"	15	59559	Unreliable	14.1	41.5	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"35-44 years"	"35-44"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O9"	16	60361	Unreliable	15.2	43.0	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"35-44 years"	"35-44"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O9"	22	61378	35.8	22.5	54.3	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"35-44 years"	"35-44"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O9"	20	61649	32.4	19.8	50.1	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"35-44 years"	"35-44"	"2017"	"2017"	"All other non-drug and non-alcohol causes"	"O9"	21	62515	33.6	20.8	51.3	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"45-54 years"	"45-54"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O9"	40	24814	161.2	115.2	219.5	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"45-54 years"	"45-54"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O9"	37	27125	136.4	96.0	188.0	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"45-54 years"	"45-54"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O9"	59	30253	195.0	148.5	251.6	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"45-54 years"	"45-54"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O9"	54	32563	165.8	124.6	216.4	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"45-54 years"	"45-54"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O9"	68	34968	194.5	151.0	246.5	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"45-54 years"	"45-54"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O9"	47	37522	125.3	92.0	166.6	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"45-54 years"	"45-54"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O9"	54	40001	135.0	101.4	176.1	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"45-54 years"	"45-54"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O9"	64	42588	150.3	115.7	191.9	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"45-54 years"	"45-54"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O9"	61	45072	135.3	103.5	173.8	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"45-54 years"	"45-54"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O9"	50	47628	105.0	77.9	138.4	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"45-54 years"	"45-54"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O9"	51	50452	101.1	75.3	132.9	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"45-54 years"	"45-54"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O9"	58	52373	110.7	84.1	143.2	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"45-54 years"	"45-54"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O9"	60	53477	112.2	85.6	144.4	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"45-54 years"	"45-54"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O9"	61	54397	112.1	85.8	144.0	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"45-54 years"	"45-54"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O9"	68	55219	123.1	95.6	156.1	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"45-54 years"	"45-54"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O9"	61	55884	109.2	83.5	140.2	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"45-54 years"	"45-54"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O9"	65	56550	114.9	88.7	146.5	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"45-54 years"	"45-54"	"2016"	"2016"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	56927	Unreliable	9.6	34.6	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"45-54 years"	"45-54"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O9"	49	56927	86.1	63.7	113.8	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"45-54 years"	"45-54"	"2017"	"2017"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	57470	Unreliable	12.0	38.7	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"45-54 years"	"45-54"	"2017"	"2017"	"All other non-drug and non-alcohol causes"	"O9"	52	57470	90.5	67.6	118.7	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"55-64 years"	"55-64"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O9"	78	13223	589.9	466.3	736.2	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"55-64 years"	"55-64"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O9"	67	14415	464.8	360.2	590.3	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"55-64 years"	"55-64"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O9"	58	15725	368.8	280.1	476.8	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"55-64 years"	"55-64"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O9"	66	17436	378.5	292.8	481.6	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"55-64 years"	"55-64"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O9"	100	19107	523.4	420.8	625.9	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"55-64 years"	"55-64"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O9"	77	20609	373.6	294.9	467.0	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"55-64 years"	"55-64"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O9"	82	22301	367.7	292.4	456.4	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"55-64 years"	"55-64"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O9"	78	24092	323.8	255.9	404.1	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"55-64 years"	"55-64"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O9"	86	25827	333.0	266.3	411.2	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"55-64 years"	"55-64"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O9"	88	27683	317.9	255.0	391.6	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"55-64 years"	"55-64"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O9"	68	29944	227.1	176.3	287.9	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"55-64 years"	"55-64"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O9"	104	31443	330.8	267.2	394.3	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"55-64 years"	"55-64"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O9"	90	33977	264.9	213.0	325.6	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"55-64 years"	"55-64"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O9"	83	35483	233.9	186.3	290.0	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"55-64 years"	"55-64"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O9"	105	37276	281.7	227.8	335.6	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"55-64 years"	"55-64"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O9"	90	39187	229.7	184.7	282.3	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"55-64 years"	"55-64"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O9"	95	40982	231.8	187.5	283.4	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"55-64 years"	"55-64"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O9"	102	42724	238.7	192.4	285.1	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"55-64 years"	"55-64"	"2017"	"2017"	"All other non-drug and non-alcohol causes"	"O9"	120	44581	269.2	221.0	317.3	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"65-74 years"	"65-74"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O9"	89	7314	1216.8	977.2	1497.4	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"65-74 years"	"65-74"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O9"	104	8116	1281.4	1035.1	1527.7	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"65-74 years"	"65-74"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O9"	97	8546	1135.0	920.4	1384.7	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"65-74 years"	"65-74"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O9"	116	9081	1277.4	1044.9	1509.9	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"65-74 years"	"65-74"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O9"	118	9593	1230.1	1008.1	1452.0	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"65-74 years"	"65-74"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O9"	120	10122	1185.5	973.4	1397.7	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"65-74 years"	"65-74"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O9"	120	10837	1107.3	909.2	1305.4	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"65-74 years"	"65-74"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O9"	86	11398	754.5	603.5	931.8	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"65-74 years"	"65-74"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O9"	102	12230	834.0	672.2	995.9	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"65-74 years"	"65-74"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O9"	108	13088	825.2	669.6	980.8	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"65-74 years"	"65-74"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O9"	102	14042	726.4	585.4	867.4	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"65-74 years"	"65-74"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O9"	108	14889	725.4	588.6	862.2	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"65-74 years"	"65-74"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O9"	106	16008	662.2	536.1	788.2	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"65-74 years"	"65-74"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O9"	103	17019	605.2	488.3	722.1	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"65-74 years"	"65-74"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O9"	121	18414	657.1	540.0	774.2	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"65-74 years"	"65-74"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O9"	134	19519	686.5	570.3	802.7	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"65-74 years"	"65-74"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O9"	127	20823	609.9	503.8	716.0	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"65-74 years"	"65-74"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O9"	157	22298	704.1	594.0	814.2	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"65-74 years"	"65-74"	"2017"	"2017"	"All other non-drug and non-alcohol causes"	"O9"	137	23956	571.9	476.1	667.6	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"75-84 years"	"75-84"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O9"	98	3468	2825.8	2294.2	3443.8	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"75-84 years"	"75-84"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O9"	96	4020	2388.1	1934.3	2916.2	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"75-84 years"	"75-84"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O9"	109	4276	2549.1	2070.6	3027.7	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"75-84 years"	"75-84"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O9"	121	4521	2676.4	2199.5	3153.3	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"75-84 years"	"75-84"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O9"	113	4826	2341.5	1909.8	2773.2	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"75-84 years"	"75-84"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O9"	144	5059	2846.4	2381.5	3311.3	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"75-84 years"	"75-84"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O9"	128	5279	2424.7	2004.6	2844.8	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"75-84 years"	"75-84"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O9"	136	5536	2456.6	2043.8	2869.5	0.0%
